Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
4609,7309,4647,1753,3242,2924,2818,3707,5670,2358,3748,3015,2429,3522,4149,4313,3763.3125
4587,4854,2336,992,1209,4655,3215,4808,1746,4483,3159,3582,2940,4169,3689,7673,3631.0625
3050,3338,2635,2784,1354,3485,4919,3153,5521,1764,2018,5153,1501,2815,1984,5038,3157
4395,5361,1826,913,1178,2602,1797,1656,1856,1489,5321,4958,3021,2638,2128,3988,2820.4375
2841,3926,1965,2987,1343,2741,4056,1249,3255,2116,1499,3033,2311,3802,3052,706,2555.125
1463,1401,2306,2779,1175,2865,1982,3826,5956,1118,1743,2502,1997,1584,2101,4208,2437.875
1430,3370,1713,2419,1978,2271,5206,1187,5068,1210,3508,1944,2661,3203,3602,4879,2853.0625
547,1947,630,577,1101,3150,1487,3165,3079,1253,2081,2791,472,769,969,4844,1803.875
2968,2193,3416,3499,1445,2532,4065,1983,5834,2047,2258,392,310,1718,2321,1981,2435.125
1651,2468,1072,1687,1715,314,2296,2855,5730,1840,1289,968,248,960,1545,1300,1746.125
278,576,1384,2308,1455,3075,1046,800,3868,2015,220,290,0,728,3013,614,1354.375
463,523,1122,3243,1286,2351,1289,619,5584,1301,1302,1324,943,1050,890,1059,1521.8125
579,827,2403,4077,2058,2490,0,0,3813,552,593,1017,2209,569,1144,977,1456.75
51,617,865,1741,280,1446,428,0,2354,384,1718,610,4022,1165,948,1994,1163.9375
333,483,325,1145,3063,2593,1058,674,1407,258,1495,938,3208,2012,497,1147,1289.75
509,621,953,2190,696,2078,0,0,1243,544,453,663,1971,227,4587,153,1055.5
134,1261,322,2465,750,3622,378,726,1819,1369,1422,272,77,2865,637,411,1158.125
117,612,1456,2029,1497,2160,1202,1662,3606,623,0,31,1866,1266,789,720,1227.25
530,1392,1185,1547,1568,2896,551,1497,2757,962,1914,1019,960,2351,1085,0,1388.375
0,439,1231,949,0,1719,262,1311,4153,390,622,771,847,2006,991,965,1041
0,396,1456,2885,1460,1639,46,1052,159,724,1251,1291,749,1719,682,2711,1138.75
0,290,1770,2098,756,56,959,550,0,0,1754,379,1932,1104,378,1686,857
543,1163,2048,2266,701,2434,964,329,1174,0,1630,1797,170,529,4420,2607,1423.4375
0,99,3736,2987,1178,2552,1466,143,2556,689,433,1084,47,2365,1537,1981,1428.3125
0,466,887,245,1160,2477,498,455,2195,666,2769,1892,223,2535,672,2219,1209.9375
0,3927,551,1535,2038,594,453,771,879,1154,3147,1369,448,810,887,1080,1227.6875
9,865,222,2449,863,297,441,0,0,1046,2615,629,2132,3284,1261,773,1055.375
0,1534,1917,822,2865,1075,2361,1148,1221,190,3488,1604,0,1277,2931,699,1445.75
0,3168,3467,141,1559,1453,1117,548,1459,604,1394,787,1869,3449,2856,560,1526.9375
171,1559,988,1084,352,1160,1297,338,492,0,472,167,1237,392,1833,597,758.6875
450,947,1131,1414,1637,2490,302,345,548,1710,2363,275,2878,215,2059,792,1222.25
307,0,0,1007,777,625,504,0,932,120,1610,856,55,1410,395,2229,676.6875
26,1153,1454,484,1363,361,413,405,244,170,1605,484,1663,248,1186,1602,803.8125
784,408,1055,1031,544,0,1502,298,0,539,1150,705,321,1478,475,880,698.125
677,399,1060,863,1055,2957,189,279,173,95,2567,167,576,2783,813,2366,1063.6875
0,93,782,752,2065,912,259,628,454,1443,2728,976,1945,1374,2251,1946,1163
19,0,0,1515,4602,1331,3009,651,0,1020,1226,195,2834,4183,894,2938,1526.0625
369,1135,1073,1727,1019,1734,1601,146,275,0,3723,688,2645,2414,178,2295,1313.875
760,465,1692,2044,1225,2306,2195,2005,0,0,1541,1074,1560,891,1467,2639,1366.5
280,2118,2303,3619,608,632,1136,963,0,1200,2454,971,797,1943,1109,1199,1333.25
,,1945,774,1719,535,395,1026,165,702,1299,115,0,1327,1173,480,728.4375
,,1411,2029,650,1018,535,0,813,0,757,1181,0,751,3415,1091,853.1875
,,2288,2091,1667,1852,624,1263,498,0,1541,1671,382,2306,3012,535,1233.125
,,3167,1757,2237,0,862,800,430,403,269,2047,0,1496,3196,840,1094
,,2600,687,2545,241,559,0,442,713,1241,1001,0,793,2063,1406,893.1875
,,1229,2822,305,0,538,1376,455,283,1441,2247,101,784,2874,1065,970
,,3184,1144,1659,0,392,915,936,449,1292,1262,1945,1840,1294,79,1024.4375
,,1423,568,1032,0,965,0,1807,657,556,1063,2012,1942,1238,230,843.3125
,,151,1758,454,0,542,710,2333,0,0,1924,289,586,846,1634,701.6875
,,2989,1746,1295,584,688,864,1966,0,1850,873,1019,654,933,66,970.4375
,,3033,81,2105,0,0,0,451,564,646,962,985,1717,1336,166,752.875
,,930,2403,1663,425,364,334,603,338,1635,1480,2403,2019,0,963,972.5
,,3154,874,1501,0,356,125,1653,0,1245,902,1012,0,580,2106,844.25
,,2087,1882,1740,1082,230,112,227,1507,1796,430,1207,960,732,597,911.8125
,,1943,657,249,671,223,1380,3935,83,277,2338,1376,663,1262,202,953.6875
,,1846,2419,1078,193,1179,328,0,375,1346,1826,955,750,516,1280,880.6875
,,1272,1424,335,1099,0,715,997,850,1087,1202,882,1795,1651,1830,946.1875
,,3133,1709,1322,2498,1180,0,493,520,1185,1622,616,2107,727,348,1091.25
,,1472,0,1270,2657,751,310,269,0,0,938,2912,4010,598,2368,1097.1875
,,1951,945,1721,1529,4530,1945,495,139,0,393,505,3498,307,989,1184.1875
,,794,1154,973,980,1731,556,1216,0,1542,1089,881,4831,622,983,1084.5
,,1608,1404,2072,795,1944,2331,0,272,2633,1405,550,4526,1308,467,1332.1875
,,349,2309,2094,808,1684,0,545,759,0,365,1035,1366,2456,526,893.5
,,1338,685,738,1026,1160,290,1144,711,617,944,6,816,1176,1242,743.3125
,,2044,1239,2034,1729,1428,472,1566,0,214,0,359,1175,2486,2259,1062.8125
,,2604,1610,1447,1102,1769,431,866,0,788,664,0,2607,1234,1041,1010.1875
,,957,719,961,2832,169,415,803,0,1063,344,0,1977,2502,891,852.0625
